| Feature            | RIP                                      | IGRP                                         | EIGRP                                      | OSPF                       | IS-IS                                      | BGP                                                    |
| ------------------ | ---------------------------------------- | -------------------------------------------- | ------------------------------------------ | -------------------------- | ------------------------------------------ | ------------------------------------------------------ |
| Full Form          | Routing Information Protocol             | Interior Gateway Routing Protocol            | Enhanced Interior Gateway Routing Protocol | Open Shortest Path First   | Intermediate System to Intermediate System | Border Gateway Protocol                                |
| Protocol Type      | Distance Vector                          | Distance Vector                              | Advanced Distance Vector (Hybrid)          | Link State                 | Link State                                 | Path Vector                                            |
| Scope              | IGP                                      | IGP                                          | IGP                                        | IGP                        | IGP                                        | EGP                                                    |
| Developed By       | Xerox / Standardized by IETF             | Cisco                                        | Cisco (now open standard)                  | IETF                       | ISO                                        | IETF                                                   |
| Algorithm          | Bellman-Ford                             | Bellman-Ford                                 | DUAL                                       | Dijkstra (SPF)             | Dijkstra (SPF)                             | Best Path Selection                                    |
| Metric             | Hop Count                                | Bandwidth + Delay + Reliability + Load + MTU | Bandwidth + Delay (default)                | Cost (Bandwidth)           | Cost                                       | Path Attributes (AS Path, Local Preference, MED, etc.) |
| Maximum Hop Count  | 15                                       | 255 (default 100)                            | 224                                        | No practical limit         | No practical limit                         | No hop limit                                           |
| Convergence Speed  | Slow                                     | Slow                                         | Very Fast                                  | Fast                       | Very Fast                                  | Slow (focuses on stability)                            |
| Routing Updates    | Entire routing table every 30 sec        | Entire routing table every 90 sec            | Partial, Triggered                         | Triggered LSAs             | Triggered LSPs                             | Incremental Updates                                    |
| Classful/Classless | RIPv1: Classful, RIPv2: Classless        | Classful                                     | Classless                                  | Classless                  | Classless                                  | Classless                                              |
| Supports VLSM/CIDR | RIPv2 Only                               | No                                           | Yes                                        | Yes                        | Yes                                        | Yes                                                    |
| Load Balancing     | Equal Cost                               | Equal Cost                                   | Equal & Unequal Cost                       | Equal Cost                 | Equal Cost                                 | Policy-based (not metric-based)                        |
| Loop Prevention    | Split Horizon, Poison Reverse, Hold-down | Split Horizon, Hold-down                     | DUAL                                       | LSDB + SPF                 | LSDB + SPF                                 | AS Path                                                |
| Neighbor Discovery | No Neighbor Table                        | No Neighbor Table                            | Hello Packets                              | Hello Packets              | Hello Packets (IIH)                        | TCP Session                                            |
| Transport          | UDP Port 520                             | IP Protocol                                  | IP Protocol 88                             | IP Protocol 89             | Runs directly over Layer 2 (CLNS)          | TCP Port 179                                           |
| Authentication     | RIPv2 Yes                                | No                                           | Yes                                        | Yes                        | Yes                                        | Yes                                                    |
| Areas/Hierarchy    | No                                       | No                                           | No                                         | Areas (Area 0 Backbone)    | Levels (L1/L2)                             | Autonomous Systems (AS)                                |
| Vendor Support     | Multi-vendor                             | Cisco Only                                   | Mostly Cisco (widely supported today)      | Multi-vendor               | Multi-vendor                               | Multi-vendor                                           |
| Current Status     | Legacy / Small Networks                  | Obsolete                                     | Still Used                                 | Most Common Enterprise IGP | ISP Backbone                               | Internet Standard                                      |
| Best Used In       | Small LANs                               | Old Cisco Networks                           | Cisco Enterprise Networks                  | Enterprise Networks        | ISP / Telecom Networks                     | Internet & ISP Interconnection                         |
